Date,Price,Open,High,Low,Vol.,Change %
07/18/2024,"8,346.00","8,341.00","8,367.00","8,335.00",0.55K,-0.20%
07/17/2024,"8,363.00","8,340.00","8,390.00","8,340.00",0.40K,0.30%
07/16/2024,"8,338.00","8,337.00","8,362.00","8,317.00",0.76K,-0.10%
07/15/2024,"8,346.00","8,345.00","8,368.00","8,326.00",0.58K,-1.70%
07/12/2024,"8,490.00","8,490.00","8,490.00","8,490.00",0.00K,1.45%
07/11/2024,"8,369.00","8,369.00","8,369.00","8,369.00",,0.00%
07/10/2024,"8,369.00","8,369.00","8,369.00","8,369.00",0.00K,0.00%
07/09/2024,"8,369.00","8,365.00","8,365.00","8,365.00",0.08K,-1.47%
07/08/2024,"8,494.00","8,494.00","8,494.00","8,494.00",,0.00%
07/05/2024,"8,494.00","8,508.00","8,508.00","8,488.00",0.00K,-0.67%
07/04/2024,"8,551.00","8,556.00","8,561.00","8,549.00",0.02K,-0.18%
07/03/2024,"8,566.00","8,573.00","8,578.00","8,535.00",0.02K,0.37%
07/02/2024,"8,534.00","8,492.00","8,549.00","8,492.00",0.19K,0.71%
07/01/2024,"8,474.00","8,464.00","8,486.00","8,464.00",0.01K,0.04%
06/28/2024,"8,471.00","8,448.00","8,505.00","8,448.00",0.03K,0.27%
06/27/2024,"8,448.00","8,470.00","8,470.00","8,432.00",0.04K,0.08%
06/26/2024,"8,441.00","8,459.00","8,473.00","8,419.00",0.15K,-0.22%
06/25/2024,"8,460.00","8,420.00","8,480.00","8,420.00",0.07K,0.52%
06/24/2024,"8,416.00","8,437.00","8,440.00","8,383.00",0.36K,-0.89%
06/21/2024,"8,492.00","8,522.00","8,535.00","8,436.00",0.32K,-0.40%
06/20/2024,"8,526.00","8,517.00","8,540.00","8,500.00",0.52K,0.11%
06/19/2024,"8,517.00","8,463.00","8,577.00","8,463.00",0.61K,0.41%
06/18/2024,"8,482.00","8,441.00","8,511.00","8,441.00",0.45K,0.60%
06/17/2024,"8,431.00","8,431.00","8,431.00","8,431.00",0.00K,0.04%
06/14/2024,"8,428.00","8,428.00","8,428.00","8,428.00",,0.00%
06/13/2024,"8,428.00","8,428.00","8,428.00","8,428.00",,0.00%
06/12/2024,"8,428.00","8,428.00","8,428.00","8,428.00",,0.00%
06/11/2024,"8,428.00","8,428.00","8,428.00","8,428.00",,0.00%
06/07/2024,"8,428.00","8,400.00","8,477.00","8,400.00",0.00K,0.33%
06/06/2024,"8,400.00","8,397.00","8,406.00","8,397.00",0.01K,0.60%
06/05/2024,"8,350.00","8,362.00","8,374.00","8,322.00",0.02K,-0.60%
06/04/2024,"8,400.00","8,416.00","8,416.00","8,396.00",0.02K,-0.72%
06/03/2024,"8,461.00","8,495.00","8,506.00","8,415.00",0.08K,-0.82%
05/31/2024,"8,531.00","8,529.00","8,547.00","8,488.00",0.20K,-0.19%
05/30/2024,"8,547.00","8,556.00","8,631.00","8,520.00",0.18K,0.35%
05/29/2024,"8,517.00","8,479.00","8,548.00","8,479.00",0.24K,-0.65%
05/28/2024,"8,573.00","8,589.00","8,599.00","8,498.00",0.14K,0.67%
05/27/2024,"8,516.00","8,463.00","8,559.00","8,463.00",0.25K,0.64%
05/24/2024,"8,462.00","8,462.00","8,491.00","8,444.00",0.18K,0.09%
05/23/2024,"8,454.00","8,500.00","8,500.00","8,408.00",0.21K,-0.54%
05/22/2024,"8,500.00","8,496.00","8,521.00","8,476.00",0.39K,0.05%
05/21/2024,"8,496.00","8,543.00","8,560.00","8,459.00",1.33K,-0.72%
05/20/2024,"8,558.00","8,550.00","8,584.00","8,537.00",0.78K,1.82%
05/17/2024,"8,405.00","8,350.00","8,350.00","8,350.00",0.58K,0.04%
05/16/2024,"8,402.00","8,402.00","8,402.00","8,402.00",,0.00%
05/15/2024,"8,402.00","8,402.00","8,402.00","8,402.00",,0.00%
05/14/2024,"8,402.00","8,402.00","8,402.00","8,402.00",0.01K,0.04%
05/13/2024,"8,399.00","8,399.00","8,399.00","8,399.00",0.01K,0.00%
05/10/2024,"8,399.00","8,400.00","8,400.00","8,386.00",0.14K,-0.25%
05/09/2024,"8,420.00","8,411.00","8,461.00","8,350.00",0.15K,-0.52%
05/08/2024,"8,464.00","8,446.00","8,479.00","8,420.00",0.18K,0.39%
05/07/2024,"8,431.00","8,360.00","8,450.00","8,360.00",0.24K,0.75%
05/06/2024,"8,368.00","8,444.00","8,444.00","8,346.00",0.47K,-1.27%
04/30/2024,"8,476.00","8,468.00","8,500.00","8,462.00",4.97K,0.44%
04/29/2024,"8,439.00","8,428.00","8,482.00","8,412.00",8.18K,0.57%
04/26/2024,"8,391.00","8,338.00","8,430.00","8,338.00",14.24K,0.58%
04/25/2024,"8,343.00","8,321.00","8,362.00","8,321.00",11.82K,-0.02%
04/24/2024,"8,345.00","8,328.00","8,365.00","8,324.00",14.64K,-0.47%
04/23/2024,"8,384.00","8,424.00","8,426.00","8,333.00",27.45K,-0.55%
04/22/2024,"8,430.00","8,420.00","8,457.00","8,399.00",26.82K,-0.20%
04/19/2024,"8,447.00","8,397.00","8,541.00","8,360.00",52.13K,0.68%
04/18/2024,"8,390.00","8,400.00","8,431.00","8,355.00",41.10K,0.08%
04/17/2024,"8,383.00","8,364.00","8,409.00","8,351.00",25.12K,2.23%
04/16/2024,"8,200.00","8,200.00","8,200.00","8,200.00",,0.00%
04/15/2024,"8,200.00","8,200.00","8,200.00","8,200.00",,0.00%
04/12/2024,"8,200.00","8,200.00","8,200.00","8,200.00",,0.00%
04/11/2024,"8,200.00","8,200.00","8,200.00","8,200.00",,0.00%
04/10/2024,"8,200.00","8,200.00","8,200.00","8,200.00",,0.00%
04/09/2024,"8,200.00","8,200.00","8,200.00","8,200.00",,0.00%
04/08/2024,"8,200.00","8,200.00","8,200.00","8,200.00",,0.00%
04/03/2024,"8,200.00","8,200.00","8,200.00","8,200.00",,0.00%
04/02/2024,"8,200.00","8,200.00","8,200.00","8,200.00",,0.00%
04/01/2024,"8,200.00","8,200.00","8,200.00","8,200.00",0.00K,0.26%
03/29/2024,"8,179.00","8,136.00","8,189.00","8,136.00",0.01K,0.13%
03/28/2024,"8,168.00","8,162.00","8,162.00","8,136.00",0.09K,0.07%
03/27/2024,"8,162.00","8,199.00","8,199.00","8,133.00",0.04K,-0.45%
03/26/2024,"8,199.00","8,191.00","8,232.00","8,185.00",0.10K,0.10%
03/25/2024,"8,191.00","8,200.00","8,210.00","8,172.00",0.32K,-0.61%
